time_ns,x,y,z,q_x,q_y,q_z,q_w
1514911378357894897,-0.5024189677545138,0.2050818456416001,0.09582127647354653,0.0005118773570913088,-0.9236707681225187,0.3831867029728083,-2.7610805618881462e-05
1514911378357894897,-0.5024189677545138,0.2050818456416001,0.09582127647354653,0.0005118773570913088,-0.9236707681225187,0.3831867029728083,-2.7610805618881462e-05
1514911378357894897,-0.5024189677545138,0.2050818456416001,0.09582127647354653,0.0005118773570913088,-0.9236707681225187,0.3831867029728083,-2.7610805618881462e-05
1514911378357894897,-0.5024189677545138,0.2050818456416001,0.09582127647354653,0.0005118773570913088,-0.9236707681225187,0.3831867029728083,-2.7610805618881462e-05
1514911378390059948,-0.5024189690328462,0.20508317912089508,0.09582127657512497,0.000504393632691516,-0.9236552488003282,0.38322412026009717,-2.4526343841778375e-05
1514911378390059948,-0.5024189690328462,0.20508317912089508,0.09582127657512497,0.000504393632691516,-0.9236552488003282,0.38322412026009717,-2.4526343841778375e-05
1514911378390059948,-0.5024189690328462,0.20508317912089508,0.09582127657512497,0.000504393632691516,-0.9236552488003282,0.38322412026009717,-2.4526343841778375e-05
1514911378422072887,-0.5024189677545138,0.2050818456416001,0.09582127647354653,0.0005118764620625632,-0.9236583503405625,0.3832166346407279,-2.7627393112572562e-05
1514911378422072887,-0.5024189677545138,0.2050818456416001,0.09582127647354653,0.0005118764620625632,-0.9236583503405625,0.3832166346407279,-2.7627393112572562e-05
1514911378422072887,-0.5024189677545138,0.2050818456416001,0.09582127647354653,0.0005118764620625632,-0.9236583503405625,0.3832166346407279,-2.7627393112572562e-05
1514911378454196930,-0.5024189677545138,0.2050818456416001,0.09582127647354657,0.0005118784751213246,-0.9236862889859666,0.383149287822056,-2.7590071210982503e-05
1514911378454196930,-0.5024189677545138,0.2050818456416001,0.09582127647354657,0.0005118784751213246,-0.9236862889859666,0.383149287822056,-2.7590071210982503e-05
1514911378454196930,-0.5024189677545138,0.2050818456416001,0.09582127647354657,0.0005118784751213246,-0.9236862889859666,0.383149287822056,-2.7590071210982503e-05
1514911378454196930,-0.5024189677545138,0.2050818456416001,0.09582127647354657,0.0005118784751213246,-0.9236862889859666,0.383149287822056,-2.7590071210982503e-05
1514911378486238956,-0.5024189690328462,0.20508317912089508,0.09582127657512497,0.000504395618053613,-0.9236862920429985,0.3831492905870744,-2.4485481272519538e-05
1514911378486238956,-0.5024189690328462,0.20508317912089508,0.09582127657512497,0.000504395618053613,-0.9236862920429985,0.3831492905870744,-2.4485481272519538e-05
1514911378486238956,-0.5024189690328462,0.20508317912089508,0.09582127657512497,0.000504395618053613,-0.9236862920429985,0.3831492905870744,-2.4485481272519538e-05
1514911378518884897,-0.5024189690328462,0.20508317912089508,0.09582127657512497,0.000504395618053613,-0.9236862920429985,0.3831492905870744,-2.4485481272519538e-05
1514911378518884897,-0.5024189690328462,0.20508317912089508,0.09582127657512497,0.000504395618053613,-0.9236862920429985,0.3831492905870744,-2.4485481272519538e-05
1514911378518884897,-0.5024189690328462,0.20508317912089508,0.09582127657512497,0.000504395618053613,-0.9236862920429985,0.3831492905870744,-2.4485481272519538e-05
1514911378550587893,-0.5024189677545138,0.2050818456416001,0.09582127647354653,0.000511876238221437,-0.9236552457435204,0.38322411749483104,-2.7631539981483322e-05
1514911378550587893,-0.5024189677545138,0.2050818456416001,0.09582127647354653,0.000511876238221437,-0.9236552457435204,0.38322411749483104,-2.7631539981483322e-05
1514911378550587893,-0.5024189677545138,0.2050818456416001,0.09582127647354653,0.000511876238221437,-0.9236552457435204,0.38322411749483104,-2.7631539981483322e-05
1514911378582621098,-0.5024189064174457,0.20508183201265473,0.09582631968014924,0.0005136415351223445,-0.9236866808565193,0.38314834103239476,-2.334018759316686e-05
1514911378582621098,-0.5024189064174457,0.20508183201265473,0.09582631968014924,0.0005136415351223445,-0.9236866808565193,0.38314834103239476,-2.334018759316686e-05
1514911378582621098,-0.5024189064174457,0.20508183201265473,0.09582631968014924,0.0005136415351223445,-0.9236866808565193,0.38314834103239476,-2.334018759316686e-05
1514911378614731073,-0.5024189076957774,0.20508316549194952,0.09582631978446621,0.0005061583532935676,-0.9236804757510517,0.38316330997398607,-2.0243791083389417e-05
1514911378614731073,-0.5024189076957774,0.20508316549194952,0.09582631978446621,0.0005061583532935676,-0.9236804757510517,0.38316330997398607,-2.0243791083389417e-05
1514911378614731073,-0.5024189076957774,0.20508316549194952,0.09582631978446621,0.0005061583532935676,-0.9236804757510517,0.38316330997398607,-2.0243791083389417e-05
1514911378614731073,-0.5024189076957774,0.20508316549194952,0.09582631978446621,0.0005061583532935676,-0.9236804757510517,0.38316330997398607,-2.0243791083389417e-05
1514911378646862030,-0.5024189076957774,0.20508316549194952,0.09582631978446621,0.0005061575328416251,-0.9236649543196179,0.383200724889252,-2.026429379407141e-05
1514911378646862030,-0.5024189076957774,0.20508316549194952,0.09582631978446621,0.0005061575328416251,-0.9236649543196179,0.383200724889252,-2.026429379407141e-05
1514911378646862030,-0.5024189076957774,0.20508316549194952,0.09582631978446621,0.0005061575328416251,-0.9236649543196179,0.383200724889252,-2.026429379407141e-05
1514911378678998947,-0.5024189064174457,0.20508183201265473,0.09582631968014918,0.0005136396425140105,-0.9236556376907743,0.38322317073691964,-2.338179920902822e-05
1514911378678998947,-0.5024189064174457,0.20508183201265473,0.09582631968014918,0.0005136396425140105,-0.9236556376907743,0.38322317073691964,-2.338179920902822e-05
